# Oscilloscope file ./20201025_015218.bin
# Channel 2
Time / s;Voltage / V
378.5;-0.014
378.75;-0.014
379;-0.006
379.25;-0.016
379.5;-0.01
379.75;-0.012
380;-0.006
380.25;-0.016
380.5;-0.008
380.75;-0.01
381;-0.004
381.25;-0.016
381.5;-0.012
381.75;-0.01
382;-0.004
382.25;-0.016
382.5;-0.008
382.75;-0.008
383;-0.002
383.25;-0.014
383.5;-0.008
383.75;-0.008
384;-0.002
384.25;-0.014
384.5;-0.006
384.75;-0.006
385;-0.002
385.25;-0.016
385.5;-0.008
385.75;-0.004
386;-0.002
386.25;-0.014
386.5;-0.008
386.75;-0.006
387;0
387.25;-0.012
387.5;-0.004
387.75;-0.008
388;0.002
388.25;-0.012
388.5;-0.004
388.75;-0.004
389;0.002
389.25;-0.01
389.5;-0.006
389.75;-0.006
390;0.002
390.25;-0.012
390.5;-0.006
390.75;-0.006
391;0.002
391.25;-0.012
391.5;-0.004
391.75;-0.002
392;0.002
392.25;-0.01
392.5;-0.004
392.75;-0.004
393;0.004
393.25;-0.01
393.5;-0.002
393.75;-0.004
394;0.004
394.25;-0.008
394.5;-0.002
394.75;-0.002
395;0.002
395.25;-0.01
395.5;-0.004
395.75;0.002
396;0.004
396.25;-0.008
396.5;-0.002
396.75;-0.004
397;0.004
397.25;-0.008
397.5;-0.004
397.75;-0.006
398;0.004
398.25;-0.008
398.5;-0.002
398.75;0
399;0.004
399.25;-0.008
399.5;-0.004
399.75;-0.002
400;0.004
400.25;-0.01
400.5;0
400.75;-0.002
401;0.006
401.25;-0.008
401.5;0
401.75;-0.002
402;0.004
402.25;-0.01
402.5;-0.006
402.75;-0.004
403;0.004
403.25;-0.008
403.5;-0.002
403.75;-0.004
404;0.002
404.25;-0.01
404.5;-0.002
404.75;-0.004
405;0.002
405.25;-0.01
405.5;-0.004
405.75;-0.006
406;0.004
406.25;-0.01
406.5;-0.002
406.75;-0.002
407;0.002
407.25;-0.01
407.5;-0.004
407.75;-0.004
408;0.002
408.25;-0.01
408.5;-0.004
408.75;-0.006
409;0.002
409.25;-0.01
409.5;-0.006
409.75;-0.002
410;0.002
410.25;-0.012
410.5;-0.006
410.75;-0.006
411;0.002
411.25;-0.014
411.5;-0.006
411.75;-0.004
412;0
412.25;-0.012
412.5;-0.008
412.75;-0.006
413;0
413.25;-0.012
413.5;-0.008
413.75;-0.006
414;0
414.25;-0.012
414.5;-0.006
414.75;-0.008
415;-0.002
415.25;-0.014
415.5;-0.006
415.75;-0.008
416;-0.002
416.25;-0.014
416.5;-0.006
416.75;-0.008
417;-0.002
417.25;-0.014
417.5;-0.01
417.75;-0.01
418;-0.004
418.25;-0.014
418.5;-0.01
418.75;-0.012
419;-0.004
419.25;-0.016
419.5;-0.012
419.75;-0.012
420;-0.004
420.25;-0.016
420.5;-0.014
420.75;-0.014
421;-0.006
421.25;-0.016
421.5;-0.012
421.75;-0.012
422;-0.006
422.25;-0.018
422.5;-0.01
422.75;-0.014
423;-0.006
423.25;-0.018
423.5;-0.016
423.75;-0.016
424;-0.006
424.25;-0.018
424.5;-0.012
424.75;-0.012
425;-0.008
425.25;-0.018
425.5;-0.014
425.75;-0.01
426;-0.006
426.25;-0.018
426.5;-0.016
426.75;-0.012
427;-0.008
427.25;-0.018
